Filename	Ratio of hitting sets	Ratio of minimal hitting sets	Ratio of minimum hitting sets	Weighted approximation ratio	Overlap
10-5-4	100.00%	100.00%	100.00%	1.0000	0.9831
10-5-9	100.00%	100.00%	81.99%	1.2002	0.5481
10-6-1	100.00%	100.00%	51.54%	1.4846	0.8532
10-6-6	100.00%	100.00%	97.87%	1.0106	0.7641
10-7-1	100.00%	100.00%	64.19%	1.3880	0.8423
10-7-2	100.00%	100.00%	62.60%	1.3740	0.8301
10-7-3	100.00%	100.00%	91.51%	1.0425	0.8393
10-7-5	100.00%	100.00%	96.12%	1.0194	0.9443
10-7-6	100.00%	100.00%	98.58%	1.0071	0.9184
10-7-7	100.00%	100.00%	54.64%	1.4607	0.7787
10-8-2	100.00%	100.00%	52.05%	1.4895	0.7814
10-8-4	100.00%	100.00%	76.85%	1.1157	0.6598
10-8-6	100.00%	100.00%	52.14%	1.4786	0.8043
10-8-7	99.75%	99.75%	99.75%	0.9975	0.9902
10-8-8	100.00%	100.00%	53.03%	1.4794	0.7550
10-9-1	100.00%	100.00%	32.58%	1.7218	0.7284
10-9-2	100.00%	100.00%	99.53%	1.0024	0.9458
10-9-4	100.00%	100.00%	99.59%	1.0021	0.9549
10-9-6	100.00%	100.00%	66.45%	1.3385	0.7677
10-9-7	100.00%	100.00%	60.82%	1.1959	0.6272
10-9-9	100.00%	100.00%	91.19%	1.0441	0.6904
10-9-10	100.00%	100.00%	54.60%	1.4751	0.8004
10-10-2	100.00%	100.00%	79.53%	1.2161	0.5982
10-10-3	100.00%	100.00%	83.91%	1.0814	0.7034
10-10-4	100.00%	100.00%	66.68%	1.1666	0.7149
10-10-6	100.00%	100.00%	55.21%	1.2240	0.7075
10-10-7	100.00%	100.00%	99.44%	1.0028	0.9440
10-10-8	100.00%	100.00%	72.42%	1.1379	0.6205
10-10-9	100.00%	100.00%	92.83%	1.0359	0.6755
10-5-4	100.00%	55.42%	55.42%	1.2340	0.5503
10-5-9	100.00%	31.64%	16.47%	2.2772	0.1903
10-6-1	100.00%	44.85%	09.32%	2.2706	0.4269
10-6-6	100.00%	50.44%	45.59%	1.3119	0.3358
10-7-1	100.00%	48.85%	17.71%	1.9708	0.4480
10-7-2	100.00%	39.39%	11.86%	2.2459	0.3680
10-7-3	100.00%	73.23%	63.36%	1.1868	0.5494
10-7-5	100.00%	74.30%	71.10%	1.1470	0.6722
10-7-6	100.00%	54.32%	50.19%	1.2784	0.5114
10-7-7	100.00%	42.71%	10.97%	2.2922	0.3754
10-8-2	100.00%	42.48%	13.42%	2.1889	0.3378
10-8-4	100.00%	56.77%	33.65%	1.3604	0.2938
10-8-6	100.00%	48.93%	12.58%	2.1049	0.3957
10-8-7	99.95%	84.78%	84.78%	1.0754	0.8451
10-8-8	100.00%	41.35%	10.29%	2.3471	0.3557
10-9-1	100.00%	52.28%	09.81%	2.2628	0.3443
10-9-2	100.00%	47.00%	45.02%	1.3208	0.4531
10-9-4	100.00%	53.23%	51.58%	1.2649	0.5167
10-9-6	100.00%	31.80%	11.74%	2.4213	0.2749
10-9-7	100.00%	59.74%	20.39%	1.4362	0.2998
10-9-9	100.00%	50.83%	37.29%	1.3489	0.3090
10-9-10	100.00%	39.52%	11.55%	2.3018	0.3409
10-10-2	100.00%	91.88%	83.13%	1.1778	0.2348
10-10-3	100.00%	95.46%	87.35%	1.0647	0.3859
10-10-4	100.00%	66.61%	33.14%	1.3768	0.3967
10-10-6	100.00%	97.25%	60.42%	1.1994	0.4361
10-10-7	100.00%	51.06%	48.78%	1.2842	0.4912
10-10-8	100.00%	65.00%	32.20%	1.3727	0.3193
10-10-9	100.00%	59.90%	51.30%	1.2481	0.3072
