Filename	Ratio of hitting sets	Ratio of minimal hitting sets	Ratio of minimum hitting sets	Weighted approximation ratio	Overlap
9-3-4	100.00%	100.00%	92.45%	1.0755	0.7363
9-3-5	100.00%	100.00%	100.00%	1.0000	0.9997
9-3-6	100.00%	100.00%	100.00%	1.0000	0.9999
9-4-1	100.00%	100.00%	68.79%	1.3157	0.7582
9-5-3	100.00%	100.00%	87.79%	1.0610	0.6553
9-5-10	100.00%	100.00%	99.88%	1.0006	0.9790
9-6-3	100.00%	100.00%	98.59%	1.0141	0.8576
9-6-4	100.00%	100.00%	92.03%	1.0867	0.6662
9-6-9	100.00%	100.00%	73.52%	1.1354	0.7463
9-6-10	100.00%	100.00%	100.00%	1.0000	0.9487
9-7-1	100.00%	100.00%	100.00%	1.0000	0.9842
9-7-2	100.00%	100.00%	100.00%	1.0000	1.0000
9-7-3	100.00%	100.00%	84.20%	1.1580	0.7373
9-7-6	100.00%	100.00%	100.00%	1.0000	0.9996
9-7-10	100.00%	100.00%	82.58%	1.1742	0.7638
9-8-1	100.00%	100.00%	65.28%	1.3473	0.7485
9-8-2	100.00%	100.00%	98.05%	1.0098	0.8739
9-8-3	100.00%	100.00%	100.00%	1.0000	0.9996
9-8-4	100.00%	100.00%	100.00%	1.0000	0.9994
9-8-8	100.00%	100.00%	81.48%	1.1882	0.7909
9-8-9	100.00%	100.00%	60.51%	1.3985	0.8309
9-9-1	100.00%	100.00%	98.23%	1.0088	0.9244
9-9-2	100.00%	100.00%	96.61%	1.0170	0.9186
9-9-10	100.00%	100.00%	100.00%	1.0000	0.9605
9-10-1	100.00%	100.00%	100.00%	1.0000	0.9931
9-10-2	100.00%	100.00%	56.91%	1.4381	0.8101
9-10-3	100.00%	100.00%	88.12%	1.0594	0.9696
9-10-7	100.00%	100.00%	39.24%	1.3038	0.5461
9-10-8	100.00%	100.00%	100.00%	1.0000	0.8145
9-10-9	100.00%	100.00%	20.08%	1.4549	0.9272
9-10-10	100.00%	100.00%	79.34%	1.2386	0.5691
10-3-7	100.00%	100.00%	91.71%	1.0829	0.7280
10-4-5	100.00%	100.00%	100.00%	1.0000	0.9992
10-4-9	100.00%	100.00%	93.05%	1.0695	0.7285
10-5-3	100.00%	100.00%	88.99%	1.1125	0.6809
10-5-5	100.00%	100.00%	68.95%	1.3160	0.7045
10-5-6	100.00%	100.00%	96.53%	1.0347	0.7655
10-5-10	100.00%	100.00%	100.00%	1.0000	0.9998
10-6-2	100.00%	100.00%	100.00%	1.0000	0.9996
10-6-3	100.00%	100.00%	72.79%	1.2721	0.8050
10-6-4	100.00%	100.00%	72.03%	1.1398	0.9737
10-6-9	100.00%	100.00%	93.32%	1.0668	0.8260
10-8-1	100.00%	100.00%	100.00%	1.0000	0.9994
10-8-5	100.00%	100.00%	98.43%	1.0078	0.9138
10-8-9	100.00%	100.00%	80.91%	1.1957	0.7563
10-8-10	100.00%	100.00%	69.86%	1.3014	0.7850
10-10-1	100.00%	100.00%	100.00%	1.0000	0.9995
10-10-10	100.00%	100.00%	100.00%	1.0000	0.9937
9-3-4	100.00%	38.41%	22.69%	1.9881	0.3444
9-3-5	100.00%	55.10%	55.10%	1.2442	0.5509
9-3-6	100.00%	31.36%	31.36%	1.8099	0.3136
9-4-1	100.00%	33.14%	12.20%	2.4101	0.2867
9-5-3	100.00%	93.72%	87.21%	1.0648	0.3371
9-5-10	100.00%	58.26%	57.41%	1.2315	0.5747
9-6-3	100.00%	39.44%	34.23%	1.7390	0.3628
9-6-4	100.00%	30.81%	22.36%	2.1217	0.2185
